Workout,Exercise,Superset,Sets,Reps,Time,Weight (lbs),Height,Notes,Routine,Date,Week Number,Tempo
Tuesday,QL Extension,,1,20,,,,,Pro,2025-10-21,8 weeks ago,2010
Tuesday,Eccentric Nordic,,2,5,,,,5 pulses then down,Pro,2025-10-21,8 weeks ago,2010
Tuesday,Shoulder Press,,1,12,,25,,,Pro,2025-10-21,8 weeks ago,2010
Tuesday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-10-21,8 weeks ago,2010
Monday,Pullups,,1,9,,110,,,Pro,2025-10-20,8 weeks ago,20X1
Monday,ATG Split Squat,,3,10,,0,18 inch,tournament recovery,Pro,2025-10-20,8 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-10-20,8 weeks ago,Hold
Monday,Back Extensions,,2,15,,0,,tournament recovery,Pro,2025-10-20,8 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-10-20,8 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-10-20,8 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-10-20,8 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-10-20,8 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-10-20,8 weeks ago,Hold
Monday,Straight Leg Calf Raise,Lower Leg,1,20,,,,,Pro,2025-10-20,8 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,20,,25,,,Pro,2025-10-20,8 weeks ago,2010
Thursday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-10-16,9 weeks ago,Hold
Thursday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-10-16,9 weeks ago,2010
Thursday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-10-16,9 weeks ago,2010
Thursday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-10-16,9 weeks ago,2010
Thursday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-10-16,9 weeks ago,Hold
Thursday,Straight Leg Calf Raise,Lower Leg,1,20,,,,,Pro,2025-10-16,9 weeks ago,2010
Thursday,Tibialis Raise,Lower Leg,1,,,,,,Pro,2025-10-16,9 weeks ago,2010
Monday,ATG Split Squat,,3,10,,0,6 inch,,Pro,2025-10-15,9 weeks ago,2010
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-10-14,9 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-10-14,9 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-10-14,9 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-10-14,9 weeks ago,2010
Tuesday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-10-14,9 weeks ago,Hold
Tuesday,Straight Leg Calf Raise,Lower Leg,1,,,,,,Pro,2025-10-14,9 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,20,,,Pro,2025-10-14,9 weeks ago,2010
Monday,Pullups,,1,9,,110,,,Pro,2025-10-13,9 weeks ago,20X1
Monday,ATG Split Squat,,3,10,,35,12 inch,,Pro,2025-10-13,9 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-10-13,9 weeks ago,Hold
Monday,Back Extensions,,2,15,,15,,,Pro,2025-10-13,9 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-10-13,9 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-10-13,9 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-10-13,9 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-10-13,9 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-10-13,9 weeks ago,Hold
Monday,Straight Leg Calf Raise,Lower Leg,1,20,,,,,Pro,2025-10-13,9 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,20,,20,,,Pro,2025-10-13,9 weeks ago,2010
Friday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-10-10,9 weeks ago,2010
Friday,Pullover,,1,20,,20,,,Pro,2025-10-10,9 weeks ago,2010
Friday,Bottom Quarter Squat,,3,5,,"[45,55,55]",,,Pro,2025-10-10,9 weeks ago,2010
Friday,Full Stretch DB RDL,,2,15,,60,,,Pro,2025-10-10,9 weeks ago,Hold
Friday,Trap-3 Raise Negative,,2,5,,7.5,,,Pro,2025-10-10,9 weeks ago,2010
Thursday,Face pull,,1,15,,45,,,Pro,2025-10-09,10 weeks ago,2010
Thursday,Reverse Step Up,,3,20,,,12 inches,,Pro,2025-10-09,10 weeks ago,2010
Thursday,Garhammer Raise,,1,20,,,,,Pro,2025-10-09,10 weeks ago,2010
Thursday,DB Seated Goodmorning,,2,15,,100,,,Pro,2025-10-09,10 weeks ago,2010
Thursday,Inclined Press,,1,15,,80,,,Pro,2025-10-09,10 weeks ago,2010
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-10-07,10 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-10-07,10 weeks ago,Hold
Tuesday,Straight Leg Calf Raise,Lower Leg,1,,,,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,25,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Row,,1,15,,60,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Back Squat,,3,5,,135,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,QL Extension,,1,20,,,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Eccentric Nordic,,2,5,,,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,Shoulder Press,,1,12,,25,,,Pro,2025-10-07,10 weeks ago,2010
Tuesday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-10-07,10 weeks ago,2010
Monday,Pullups,,1,9,,110,,,Pro,2025-10-06,10 weeks ago,20X1
Monday,ATG Split Squat,,3,10,,"[19,23,23]",12 inch,,Pro,2025-10-06,10 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-10-06,10 weeks ago,Hold
Monday,Back Extensions,,2,15,,15,,,Pro,2025-10-06,10 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-10-06,10 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-10-06,10 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-10-06,10 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-10-06,10 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-10-06,10 weeks ago,Hold
Monday,Straight Leg Calf Raise,Lower Leg,1,20,,,,,Pro,2025-10-06,10 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,20,,25,,,Pro,2025-10-06,10 weeks ago,2010
Thursday,Band Pull apart,,1,15,,,,Red Band,Pro,2025-10-02,11 weeks ago,2010
Thursday,Reverse Step Up,,3,20,,,18 inches,,Pro,2025-10-02,11 weeks ago,2010
Thursday,Garhammer Raise,,1,20,,,,,Pro,2025-10-02,11 weeks ago,2010
Thursday,DB Seated Goodmorning,,2,15,,85,,,Pro,2025-10-02,11 weeks ago,2010
Thursday,Inclined Press,,1,12,,70,,,Pro,2025-10-02,11 weeks ago,2010
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-30,11 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-30,11 weeks ago,Hold
Tuesday,Straight Leg Calf Raise,Lower Leg,1,,,,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,22,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Row,,1,15,,60,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Back Squat,,3,5,,105,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,QL Extension,,1,20,,,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Eccentric Nordic,,2,5,,,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,Shoulder Press,,1,12,,20,,,Pro,2025-09-30,11 weeks ago,2010
Tuesday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-09-30,11 weeks ago,2010
Monday,Pullups,,1,9,,110,,,Pro,2025-09-29,11 weeks ago,20X1
Monday,ATG Split Squat,,3,10,,"[0,19,19]",12 inch,,Pro,2025-09-29,11 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-09-29,11 weeks ago,Hold
Monday,Back Extensions,,2,15,,"[0,15]",,,Pro,2025-09-29,11 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-29,11 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-29,11 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-29,11 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-29,11 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-29,11 weeks ago,Hold
Monday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-29,11 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,20,,22,,,Pro,2025-09-29,11 weeks ago,2010
Friday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-26,11 weeks ago,Hold
Friday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-26,11 weeks ago,Hold
Friday,Straight Leg Calf Raise,Mobility,1,,,,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Tibialis Raise,Lower Leg,1,20,,22,,,Pro,2025-09-26,11 weeks ago,2010
Friday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Pullover,,1,20,,20,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Bottom Quarter Squat,,3,5,,45,,,Pro,2025-09-26,11 weeks ago,2010
Friday,Full Stretch DB RDL,,2,15,,65,,,Pro,2025-09-26,11 weeks ago,Hold
Friday,Trap-3 Raise Negative,,2,5,,20,,,Pro,2025-09-26,11 weeks ago,2010
Thursday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-25,12 weeks ago,Hold
Thursday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-25,12 weeks ago,Hold
Thursday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Tibialis Raise,Lower Leg,1,20,,22,,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Reverse Step Up,,3,20,,,18 inches,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Garhammer Raise,,1,20,,,,,Pro,2025-09-25,12 weeks ago,2010
Thursday,DB Seated Goodmorning,,2,"[20,15]",,"[65,95]",,,Pro,2025-09-25,12 weeks ago,2010
Thursday,Inclined Press,,1,12,,70,,,Pro,2025-09-25,12 weeks ago,2010
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-23,12 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-23,12 weeks ago,Hold
Tuesday,Straight Leg Calf Raise,Mobility,1,,,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,22,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Row,,1,15,,60,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Row,,1,15,,44,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Back Squat,,3,"[5,6,6]",,"[50,100,100]",,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Back Squat,,3,5,,62,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,QL Extension,,1,20,,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Eccentric Nordic,,2,5,,,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,Shoulder Press,,1,20,,20,,,Pro,2025-09-23,12 weeks ago,2010
Tuesday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-09-23,12 weeks ago,2010
Monday,Pullups,,1,8,,110,,,Pro,2025-09-22,12 weeks ago,20X1
Monday,ATG Split Squat,,3,10,,18,12 inch,,Pro,2025-09-22,12 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-09-22,12 weeks ago,Hold
Monday,Back Extensions,,2,15,,10,,,Pro,2025-09-22,12 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-22,12 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-22,12 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-22,12 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-22,12 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-22,12 weeks ago,Hold
Monday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-22,12 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,16,,27,,,Pro,2025-09-22,12 weeks ago,2010
Friday,Pullover,,1,20,,20,,,Pro,2025-09-19,12 weeks ago,2010
Friday,Bottom Quarter Squat,,3,5,,"[18,18,22]",,,Pro,2025-09-19,12 weeks ago,2010
Friday,Full Stretch DB RDL,,2,15,,65,,,Pro,2025-09-19,12 weeks ago,Hold
Friday,Trap-3 Raise Negative,,2,"[10,5]",,10,,,Pro,2025-09-19,12 weeks ago,2010
Thursday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-18,13 weeks ago,Hold
Thursday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-18,13 weeks ago,Hold
Thursday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Face pull,,1,15,,33,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Reverse Step Up,,3,20,,,12 inches,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Garhammer Raise,,1,20,,,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,DB Seated Goodmorning,,2,"[20,15]",,50,,,Pro,2025-09-18,13 weeks ago,2010
Thursday,Inclined Press,,1,12,,70,,,Pro,2025-09-18,13 weeks ago,2010
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-16,13 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-16,13 weeks ago,Hold
Tuesday,Straight Leg Calf Raise,Mobility,1,,,,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Row,,1,15,,60,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Back Squat,,3,5,,88,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,QL Extension,,1,20,,,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Eccentric Nordic,,2,5,,,,,Pro,2025-09-16,13 weeks ago,2010
Tuesday,Shoulder Press,,1,15,,12,,,Pro,2025-09-16,13 weeks ago,2010
Monday,Pushups,,1,7,,,,,Pro,2025-09-15,13 weeks ago,2010
Monday,ATG Split Squat,,3,10,,0,6 inch,,Pro,2025-09-15,13 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-09-15,13 weeks ago,Hold
Monday,Back Extensions,,2,15,,10,,,Pro,2025-09-15,13 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-15,13 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-15,13 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-15,13 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-15,13 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-15,13 weeks ago,Hold
Monday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-15,13 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-15,13 weeks ago,2010
Friday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-12,13 weeks ago,Hold
Friday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-12,13 weeks ago,2010
Friday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-12,13 weeks ago,2010
Friday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-12,13 weeks ago,2010
Friday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-12,13 weeks ago,Hold
Friday,Straight Leg Calf Raise,Mobility,1,,,,,,Pro,2025-09-12,13 weeks ago,2010
Friday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-12,13 weeks ago,2010
Thursday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-11,14 weeks ago,Hold
Thursday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-11,14 weeks ago,Hold
Thursday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Band Pull apart,,1,15,,18,,Med Band,Pro,2025-09-11,14 weeks ago,2010
Thursday,Reverse Step Up,,3,20,,,12 inches,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Garhammer Raise,,1,20,,,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,DB Seated Goodmorning,,2,15,,50,,,Pro,2025-09-11,14 weeks ago,2010
Thursday,Inclined Press,,1,12,,50,,,Pro,2025-09-11,14 weeks ago,2010
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-09,14 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-09,14 weeks ago,Hold
Tuesday,Straight Leg Calf Raise,Mobility,1,,,,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Row,,1,15,,44,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Back Squat,,3,5,,62,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,QL Extension,,1,20,,,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Eccentric Nordic,,2,5,,,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,Shoulder Press,,1,15,,22,,,Pro,2025-09-09,14 weeks ago,2010
Tuesday,KOT Calf Raise,Lower Leg,2,15,,44,,,Pro,2025-09-09,14 weeks ago,2010
Monday,Pushups,,1,7,,,,,Pro,2025-09-08,14 weeks ago,2010
Monday,ATG Split Squat,,3,10,,"[0,10,10]",6 inch,,Pro,2025-09-08,14 weeks ago,2010
Monday,Back Extensions,,2,15,,10,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-09-08,14 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-09-08,14 weeks ago,Hold
Monday,Straight Leg Calf Raise,Mobility,1,20,,,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,20,,18,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Row,,1,15,,44,,,Pro,2025-09-08,14 weeks ago,2010
Monday,Back Squat,,3,15,,"[88,115,115]",,,Pro,2025-09-08,14 weeks ago,2010
Monday,Eccentric Nordic,,2,5,,,,"pull, half down, half down, down was 1 rep",Pro,2025-09-08,14 weeks ago,2010
Monday,Shoulder Press,,1,12,,18,,,Pro,2025-09-08,14 weeks ago,2010
Monday,KOT Calf Raise,Lower Leg,2,15,,30,,,Pro,2025-09-08,14 weeks ago,2010
Friday,Calf Stretch,Mobility,1,,60,,,,Zero,2025-09-05,14 weeks ago,Hold
Friday,Elephant Walk,Mobility,1,20,,,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Piriformis Push Up,Mobility,1,20,,,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Standing Pancake,Mobility,1,,30,,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Couch Stretch,Mobility,1,,60,,,,Zero,2025-09-05,14 weeks ago,Hold
Friday,Straight Leg Calf Raise,Mobility,1,,,,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Tibialis Raise,Lower Leg,1,20,,,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Row,,1,15,,35,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Back Squat,,3,5,,20,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Eccentric Nordic,,1,5,,,,,Zero,2025-09-05,14 weeks ago,2010
Friday,Shoulder Press,,1,12,,18,,,Zero,2025-09-05,14 weeks ago,2010
Friday,KOT Calf Raise,Lower Leg,2,15,,30,,,Zero,2025-09-05,14 weeks ago,2010